year,county,urbanicity,total_bond_rate,index_crime_rate,total_pop
2014,"Adams","suburban",0.5255446308077887,3.3152455275823056e-2,469377
2014,"Adams","suburban",0.21727395411605938,3.3152455275823056e-2,469377
2014,"Alamosa","rural",4.515789473684211,5.864197530864198e-3,16200
2014,"Alamosa","rural",3.1157894736842104,5.864197530864198e-3,16200
2014,"Arapahoe","suburban",0.43333142168951083,2.8734145300483325e-2,606839
2014,"Arapahoe","suburban",0.17176119745369042,2.8734145300483325e-2,606839
2014,"Archuleta","rural",1.3636363636363635,1.982793936911102e-2,12205
2014,"Archuleta","rural",0.359504132231405,1.982793936911102e-2,12205
2014,"Baca","rural",3.4242424242424243,9.028727770177838e-3,3655
2014,"Baca","rural",0.9090909090909091,9.028727770177838e-3,3655
2014,"Bent","rural",2.925925925925926,1.41287284144427e-2,5733
2014,"Bent","rural",0.6049382716049383,1.41287284144427e-2,5733
2014,"Boulder","small/mid",0.44738811555156416,2.1569076897746238e-2,309749
2014,"Boulder","small/mid",0.26388265229756025,2.1569076897746238e-2,309749
2014,"Broomfield","suburban",1.2061281337047354,1.793057521018896e-2,60065
2014,"Broomfield","suburban",0.2748375116063138,1.793057521018896e-2,60065
2014,"Chaffee","rural",1.3814432989690721,1.5860903689976565e-2,18347
2014,"Chaffee","rural",0.4329896907216495,1.5860903689976565e-2,18347
2014,"Cheyenne","rural",23.5,1.070090957731407e-3,1869
2014,"Cheyenne","rural",6.5,1.070090957731407e-3,1869
2014,"Clear Creek","suburban",2.4527363184079602,2.2313499111900535e-2,9008
2014,"Clear Creek","suburban",0.4129353233830846,2.2313499111900535e-2,9008
2014,"Conejos","rural",11.928571428571429,1.708984375e-3,8192
2014,"Conejos","rural",3.5714285714285716,1.708984375e-3,8192
2014,"Costilla","rural",5.321428571428571,7.920792079207921e-3,3535
2014,"Costilla","rural",1.5714285714285714,7.920792079207921e-3,3535
2014,"Crowley","rural",10.571428571428571,1.3155421913174216e-3,5321
2014,"Crowley","rural",4.0,1.3155421913174216e-3,5321
2014,"Custer","rural",1.55,9.378663540445486e-3,4265
2014,"Custer","rural",0.525,9.378663540445486e-3,4265
2014,"Delta","rural",0.853195164075993,1.9095676263975462e-2,30321
2014,"Delta","rural",0.22107081174438686,1.9095676263975462e-2,30321
2014,"Dolores","rural",1.95,9.837678307919331e-3,2033
2014,"Dolores","rural",0.4,9.837678307919331e-3,2033
2014,"Douglas","suburban",0.7852035203520352,1.1884527887456527e-2,305944
2014,"Douglas","suburban",0.19086908690869087,1.1884527887456527e-2,305944
2014,"Eagle","rural",0.9638671875,1.9436272183733512e-2,52685
2014,"Eagle","rural",0.2529296875,1.9436272183733512e-2,52685
2014,"El Paso","small/mid",0.3906704235430923,3.419094878009619e-2,653945
2014,"El Paso","small/mid",0.2396797710094369,3.419094878009619e-2,653945
2014,"Elbert","suburban",15.15,8.500148752603171e-4,23529
2014,"Elbert","suburban",3.2,8.500148752603171e-4,23529
2014,"Fremont","rural",0.8298572996706916,1.969303934284479e-2,46260
2014,"Fremont","rural",0.3545554335894621,1.969303934284479e-2,46260
2014,"Garfield","rural",1.2061762034514079,1.9353818028406695e-2,56888
2014,"Garfield","rural",0.3369663941871026,1.9353818028406695e-2,56888
2014,"Gilpin","suburban",1.368421052631579,6.539855072463768e-2,5520
2014,"Gilpin","suburban",0.26038781163434904,6.539855072463768e-2,5520
2014,"Grand","rural",2.3142857142857145,9.792949076664802e-3,14296
2014,"Grand","rural",0.5,9.792949076664802e-3,14296
2014,"Gunnison","rural",1.5508474576271187,1.5083727470279943e-2,15646
2014,"Gunnison","rural",0.3898305084745763,1.5083727470279943e-2,15646
2014,"Hinsdale","rural",2.5,4.975124378109453e-3,804
2014,"Hinsdale","rural",0.75,4.975124378109453e-3,804
2014,"Huerfano","rural",1.7692307692307692,2.2153369481022464e-2,6455
2014,"Huerfano","rural",0.7972027972027972,2.2153369481022464e-2,6455
2014,"Jackson","rural",14.5,1.4958863126402393e-3,1337
2014,"Jackson","rural",3.0,1.4958863126402393e-3,1337
2014,"Jefferson","suburban",0.3386941910705713,3.0198855038609373e-2,551809
2014,"Jefferson","suburban",0.18338934229476717,3.0198855038609373e-2,551809
2014,"Kiowa","rural",Infinity,0.0,1392
2014,"Kiowa","rural",Infinity,0.0,1392
2014,"Kit Carson","rural",1.7322834645669292,1.542385231965023e-2,8234
2014,"Kit Carson","rural",0.4330708661417323,1.542385231965023e-2,8234
2014,"La Plata","rural",1.3318729463307777,1.7145539906103287e-2,53250
2014,"La Plata","rural",0.5180722891566265,1.7145539906103287e-2,53250
2014,"Lake","rural",2.263157894736842,1.3083597300647294e-2,7261
2014,"Lake","rural",0.8947368421052632,1.3083597300647294e-2,7261
2014,"Larimer","small/mid",0.7592422049730299,2.4064535124850014e-2,315859
2014,"Larimer","small/mid",0.23431127483225891,2.4064535124850014e-2,315859
2014,"Las Animas","rural",2.10941475826972,2.7331525140830377e-2,14379
2014,"Las Animas","rural",0.42493638676844786,2.7331525140830377e-2,14379
2014,"Lincoln","rural",9.461538461538462,4.782928623988227e-3,5436
2014,"Lincoln","rural",2.5384615384615383,4.782928623988227e-3,5436
2014,"Logan","rural",0.8033057851239669,2.790590405904059e-2,21680
2014,"Logan","rural",0.37355371900826445,2.790590405904059e-2,21680
2014,"Mesa","small/mid",0.6325706594885598,3.027504244482173e-2,147250
2014,"Mesa","small/mid",0.33781965006729475,3.027504244482173e-2,147250
2014,"Mineral","rural",20.0,2.73224043715847e-3,732
2014,"Mineral","rural",1.0,2.73224043715847e-3,732
2014,"Moffat","rural",1.3694779116465863,1.8985894014487227e-2,13115
2014,"Moffat","rural",0.6465863453815262,1.8985894014487227e-2,13115
2014,"Montezuma","rural",1.631578947368421,2.0834149206970826e-2,25535
2014,"Montezuma","rural",0.3815789473684211,2.0834149206970826e-2,25535
2014,"Montrose","rural",0.8043273753527752,2.624108222864055e-2,40509
2014,"Montrose","rural",0.2850423330197554,2.624108222864055e-2,40509
2014,"Morgan","rural",1.943089430894309,1.7466008733004367e-2,28169
2014,"Morgan","rural",0.47764227642276424,1.7466008733004367e-2,28169
2014,"Otero","rural",1.44874715261959,2.375669679095189e-2,18479
2014,"Otero","rural",0.4646924829157175,2.375669679095189e-2,18479
2014,"Ouray","rural",7.133333333333334,3.303964757709251e-3,4540
2014,"Ouray","rural",1.0666666666666667,3.303964757709251e-3,4540
2014,"Park","suburban",5.573529411764706,4.205838693715982e-3,16168
2014,"Park","suburban",0.9705882352941176,4.205838693715982e-3,16168
2014,"Phillips","rural",1.2941176470588236,7.792803117121247e-3,4363
2014,"Phillips","rural",0.35294117647058826,7.792803117121247e-3,4363
2014,"Pitkin","rural",0.5681818181818182,2.2725968436154948e-2,17425
2014,"Pitkin","rural",0.10606060606060606,2.2725968436154948e-2,17425
2014,"Prowers","rural",2.7440944881889764,2.0598491606520154e-2,12331
2014,"Prowers","rural",0.610236220472441,2.0598491606520154e-2,12331
2014,"Pueblo","small/mid",0.3595360824742268,5.7813373067610356e-2,161070
2014,"Pueblo","small/mid",0.19813144329896906,5.7813373067610356e-2,161070
2014,"Rio Blanco","rural",2.5949367088607596,1.1734997029114676e-2,6732
2014,"Rio Blanco","rural",0.6582278481012658,1.1734997029114676e-2,6732
2014,"Rio Grande","rural",1.6318407960199004,1.721479958890031e-2,11676
2014,"Rio Grande","rural",0.8009950248756219,1.721479958890031e-2,11676
2014,"Routt","rural",1.296470588235294,1.8032160889303747e-2,23569
2014,"Routt","rural",0.2376470588235294,1.8032160889303747e-2,23569
2014,"Saguache","rural",1.4352941176470588,1.3639281129653402e-2,6232
2014,"Saguache","rural",0.4823529411764706,1.3639281129653402e-2,6232
2014,"San Juan","rural",0.7222222222222222,2.604920405209841e-2,691
2014,"San Juan","rural",0.2222222222222222,2.604920405209841e-2,691
2014,"San Miguel","rural",1.67,1.3161358252171624e-2,7598
2014,"San Miguel","rural",0.35,1.3161358252171624e-2,7598
2014,"Sedgwick","rural",1.4333333333333333,1.284796573875803e-2,2335
2014,"Sedgwick","rural",0.3333333333333333,1.284796573875803e-2,2335
2014,"Summit","rural",1.1843790012804096,2.72552783109405e-2,28655
2014,"Summit","rural",0.28425096030729835,2.72552783109405e-2,28655
2014,"Teller","small/mid",1.835164835164835,1.5588197507601388e-2,23351
2014,"Teller","small/mid",0.5027472527472527,1.5588197507601388e-2,23351
2014,"Washington","rural",1.92,1.0541851149061775e-2,4743
2014,"Washington","rural",0.3,1.0541851149061775e-2,4743
2014,"Weld","small/mid",0.7294301327088213,2.3739455308297876e-2,269804
2014,"Weld","small/mid",0.3303669008587041,2.3739455308297876e-2,269804
2014,"Yuma","rural",2.036363636363636,5.439082278481013e-3,10112
2014,"Yuma","rural",0.6363636363636364,5.439082278481013e-3,10112
2014,"Denver","urban",0.1899145235340226,4.134100970759927e-2,648049
